Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Guatemala,MtCO2e,27.88,28.24,29.44,30.08,30.28,31.31,31.59,31.85,35.52,34.17,36.44,33.08,34.34,35.99,34.96,37.08,36.40,38.05,36.69,38.33,38.15,32.71,33.39,34.63,35.66,38.64,35.81,35.21,37.05,38.49
Nicaragua,MtCO2e,29.16,27.80,28.70,29.37,29.68,29.06,29.08,29.91,30.87,31.43,31.99,36.09,36.55,37.71,37.18,37.65,37.83,37.99,37.88,37.93,38.31,26.80,27.16,27.42,28.36,29.28,38.05,37.80,37.87,38.41
Cuba,MtCO2e,44.02,34.83,28.66,25.23,26.66,27.81,30.50,32.73,32.29,32.82,33.23,32.83,31.69,30.83,30.21,30.27,31.29,32.34,31.71,32.50,33.50,31.13,32.14,32.51,30.52,32.51,40.10,38.78,39.24,38.19
Sri Lanka,MtCO2e,28.54,28.39,30.16,30.47,31.25,31.37,31.27,29.28,26.79,26.21,25.45,23.07,23.96,25.14,25.28,27.22,25.64,26.56,26.81,25.97,27.23,28.22,29.77,27.22,30.00,33.89,35.79,36.38,35.61,37.90
Tunisia,MtCO2e,20.33,21.24,22.57,22.80,22.53,23.02,24.40,24.95,26.34,27.83,29.13,29.64,29.77,29.60,30.86,31.56,32.71,34.05,34.59,34.92,37.37,41.50,43.18,42.96,45.31,45.61,37.15,37.45,37.61,37.81
Slovakia,MtCO2e,57.24,49.16,46.63,44.00,41.32,41.90,41.91,41.77,40.63,39.17,36.55,38.19,37.74,38.00,37.31,38.14,37.70,36.74,36.77,33.13,34.66,33.95,31.59,32.25,29.61,30.04,37.44,39.37,38.81,37.00
Jordan,MtCO2e,18.63,19.08,21.83,22.56,23.66,23.29,22.52,22.04,21.24,20.31,20.88,20.98,21.77,22.35,23.96,25.48,26.28,27.78,27.04,27.78,27.52,28.46,32.02,32.34,34.49,34.96,35.26,37.07,36.21,36.57
Lebanon,MtCO2e,7.29,8.79,8.85,12.26,13.20,15.50,16.54,18.76,19.12,20.10,18.93,20.25,20.23,20.92,21.48,20.90,19.96,18.89,22.69,26.15,25.26,25.85,28.50,28.47,30.66,32.81,33.97,35.85,34.60,35.13
Uruguay,MtCO2e,15.41,17.02,18.63,19.16,19.05,19.25,20.58,20.29,19.88,20.94,19.07,21.93,22.24,23.13,25.04,25.21,27.34,26.30,28.88,28.43,26.03,30.67,31.53,30.54,30.03,29.87,35.33,34.57,34.47,34.36
Senegal,MtCO2e,18.10,18.40,18.84,19.09,19.41,19.69,20.93,21.42,22.62,24.81,24.78,23.91,23.37,22.68,24.81,25.53,25.94,26.09,27.03,27.50,28.54,27.61,27.18,28.36,28.90,29.82,31.79,31.93,32.33,33.60
Republic of Congo,MtCO2e,19.43,19.42,19.60,19.05,18.01,18.90,19.01,19.54,20.92,21.41,21.55,20.89,18.64,20.28,20.94,23.05,24.55,22.33,22.77,23.77,25.65,25.68,25.12,24.88,24.19,25.08,25.94,26.13,28.94,30.07
Sweden,MtCO2e,70.51,71.12,73.70,73.66,75.49,75.09,80.68,74.48,75.30,74.00,69.99,55.28,56.65,57.68,56.26,52.64,51.15,49.09,47.94,44.06,49.72,34.58,31.80,30.02,28.72,28.65,33.74,33.42,30.88,29.87
Afghanistan,MtCO2e,9.58,9.81,9.03,9.11,9.15,9.58,10.61,11.58,12.40,13.28,11.50,12.37,15.01,15.65,15.44,16.35,16.87,17.26,20.66,22.75,27.24,29.17,28.55,26.77,26.52,26.84,27.05,26.68,27.84,28.79
Trinidad and Tobago,MtCO2e,20.17,20.09,20.02,15.88,12.46,12.07,13.15,13.62,14.04,14.46,15.28,17.08,18.74,22.52,23.58,25.65,29.19,29.95,29.61,28.80,31.59,32.57,32.13,33.11,33.14,32.23,28.65,28.87,28.81,28.47
Honduras,MtCO2e,17.22,17.33,17.64,17.45,18.13,18.90,18.47,18.88,19.43,18.28,18.78,18.80,19.24,22.07,21.83,22.50,22.88,23.61,23.65,23.72,23.86,25.81,25.82,26.60,26.96,27.36,27.02,26.56,27.90,28.14
Norway,MtCO2e,31.08,28.48,28.70,31.15,33.10,33.06,33.23,34.97,36.22,38.19,32.63,25.06,24.56,26.59,26.88,25.84,26.14,26.45,25.14,24.71,28.59,30.56,29.36,30.27,29.94,30.33,29.78,28.77,28.59,26.98
Benin,MtCO2e,19.74,19.84,19.92,19.97,20.24,20.03,21.46,21.82,22.85,22.66,22.80,17.30,18.35,18.26,18.34,19.52,19.72,20.43,20.15,20.79,21.19,21.29,21.25,21.89,22.41,22.84,24.54,24.72,25.83,25.78
Panama,MtCO2e,13.85,14.34,15.01,15.27,15.56,15.76,15.75,15.69,16.77,15.91,16.00,15.78,15.05,15.34,15.34,16.99,17.52,17.53,17.64,19.23,19.86,20.96,21.66,21.64,22.07,22.06,22.29,21.74,21.90,25.30
Yemen,MtCO2e,17.80,19.55,20.11,21.45,26.31,27.48,28.13,29.90,31.16,33.89,36.86,38.15,38.23,41.80,42.24,44.57,45.86,46.60,46.36,49.56,52.17,48.94,44.50,54.09,52.32,29.46,23.90,23.84,23.86,25.26
Bosnia and Herzegovina,MtCO2e,33.53,30.81,23.49,20.07,9.64,9.55,10.58,15.49,18.31,18.27,22.05,18.71,18.86,19.39,20.46,21.15,23.05,24.20,26.13,26.38,26.41,25.48,23.69,23.47,20.95,21.17,25.73,26.00,26.01,24.50
Namibia,MtCO2e,false,19.82,19.77,19.74,19.94,20.05,19.92,19.76,20.48,20.51,21.32,21.31,19.92,20.57,21.06,21.65,22.99,22.36,20.90,23.82,23.23,28.21,29.75,22.93,22.18,22.29,22.86,23.04,22.17,21.22
Guyana,MtCO2e,9.61,9.79,9.78,9.92,10.22,11.00,11.38,11.71,11.86,11.93,11.62,12.37,12.26,12.53,12.93,12.56,12.36,12.67,12.82,12.85,13.11,20.84,21.09,21.24,21.44,21.59,18.99,19.05,19.26,19.80
Gabon,MtCO2e,13.88,14.90,14.86,15.19,15.95,17.14,18.10,17.90,18.99,18.02,17.57,17.14,16.54,17.75,17.41,17.10,15.90,15.21,15.92,15.60,16.48,19.75,19.35,19.59,19.92,20.39,20.80,19.37,18.89,19.68
Malawi,MtCO2e,11.67,11.86,11.86,12.00,11.60,11.82,11.90,11.86,12.11,12.14,12.11,12.14,12.51,12.98,12.85,13.17,13.17,13.70,14.34,14.17,15.16,15.17,15.63,15.73,16.30,16.71,17.21,17.45,18.90,19.34
Lithuania,MtCO2e,45.75,47.54,32.77,26.87,24.84,23.25,24.03,23.82,24.71,21.95,20.25,20.19,20.54,20.71,21.67,22.80,22.93,23.94,23.38,19.79,20.60,13.97,13.89,12.99,12.52,12.78,18.28,18.20,18.28,18.30
Croatia,MtCO2e,27.73,21.39,22.39,23.24,23.32,24.63,23.79,25.40,25.81,25.33,24.38,25.20,26.25,27.36,27.08,27.02,27.74,29.26,28.44,25.88,25.32,24.39,22.40,21.30,20.50,21.11,18.33,18.98,17.87,17.92
Georgia,MtCO2e,31.40,21.95,14.39,8.86,1.70,-1.36,-2.88,-3.70,-4.18,-4.43,-4.02,8.27,7.72,8.24,8.32,8.87,9.23,9.99,9.10,9.85,9.56,14.45,15.34,16.23,16.83,17.15,17.58,17.46,17.14,17.64
Bulgaria,MtCO2e,76.47,59.48,53.66,52.22,48.27,49.49,50.06,46.97,43.39,36.57,36.03,36.59,33.91,38.77,37.52,37.51,37.46,41.66,39.25,31.76,33.41,50.74,45.00,39.85,42.43,45.14,20.39,22.63,19.42,17.48
Tajikistan,MtCO2e,17.90,17.01,13.98,11.12,8.61,8.00,7.35,7.59,7.51,7.02,6.65,6.29,6.32,6.47,7.02,7.09,7.58,8.29,8.67,8.35,8.44,8.66,9.46,9.88,11.42,12.02,13.73,15.13,16.50,17.38
Slovenia,MtCO2e,7.90,6.89,6.61,7.35,7.40,8.23,9.03,9.50,9.24,8.58,8.38,7.19,7.27,7.23,7.44,7.69,8.02,7.99,8.97,6.99,7.29,16.12,15.51,14.88,13.38,13.48,17.26,17.45,17.32,16.81
Liberia,MtCO2e,14.38,14.26,14.29,14.28,14.28,14.29,14.21,14.26,14.34,14.25,14.30,14.30,14.30,14.43,14.47,14.55,14.78,14.63,14.61,15.44,14.89,15.08,15.17,15.16,15.81,16.52,15.81,15.69,15.53,15.87
Equatorial Guinea,MtCO2e,4.01,4.15,5.90,6.08,6.24,6.42,6.77,8.30,9.48,11.13,10.69,13.19,13.98,15.25,17.49,19.93,20.92,20.01,20.94,19.99,20.38,19.74,19.47,18.55,20.13,18.10,17.68,16.25,16.79,15.24
Estonia,MtCO2e,37.73,33.85,25.92,20.07,19.13,17.50,18.36,17.90,17.41,16.58,16.24,16.70,16.29,18.28,18.44,18.59,17.37,21.43,19.87,16.44,20.48,14.75,13.51,15.95,14.60,12.21,20.62,21.37,19.98,14.83
El Salvador,MtCO2e,7.95,8.73,9.11,9.58,10.20,10.47,10.41,11.27,11.39,11.60,11.20,11.85,12.08,12.65,13.01,13.40,13.88,14.45,13.89,13.52,13.27,13.18,13.34,12.59,12.86,13.33,13.33,12.59,12.92,13.92
Suriname,MtCO2e,6.11,6.47,6.58,6.52,6.56,6.68,6.79,6.77,6.83,6.89,6.18,6.60,6.06,6.29,6.64,6.82,6.77,6.66,6.85,6.99,7.32,11.86,12.34,12.19,12.60,12.71,14.08,13.63,13.27,13.83
Kyrgyzstan,MtCO2e,31.46,29.17,21.57,16.76,11.59,8.90,9.80,9.68,9.92,8.52,8.47,8.87,9.84,10.48,10.62,10.31,10.39,11.64,12.80,12.41,12.04,12.72,15.32,14.82,15.39,15.88,12.93,12.71,14.79,13.64
Moldova,MtCO2e,37.87,31.81,26.80,23.37,20.28,18.24,16.45,14.78,13.32,11.95,11.11,10.64,10.77,11.37,11.36,11.67,11.33,11.56,11.42,10.74,11.66,12.37,12.12,11.25,11.90,12.10,12.87,12.86,13.38,13.50
Mauritania,MtCO2e,7.17,7.40,7.24,7.46,7.35,7.48,8.00,8.31,8.69,9.20,9.59,9.78,9.92,9.99,10.07,10.05,10.74,10.84,9.99,10.97,11.42,11.49,12.02,12.10,12.59,13.53,12.11,12.30,12.70,13.21
Ghana,MtCO2e,21.97,22.05,22.58,22.80,23.14,23.49,24.38,25.69,29.28,28.05,28.40,62.80,64.05,64.55,63.40,65.64,66.85,67.09,66.85,68.02,69.81,55.38,57.97,60.02,59.55,61.02,7.24,9.30,10.94,12.75
Macedonia,MtCO2e,13.90,13.20,12.65,12.66,12.19,11.82,13.36,12.21,12.95,12.04,11.74,11.76,11.15,11.99,11.77,12.13,12.14,12.64,12.42,11.72,11.57,12.49,11.96,11.07,10.67,10.42,10.36,10.88,10.36,11.26
Haiti,MtCO2e,5.40,5.61,6.02,5.65,5.14,5.92,6.22,6.62,6.77,6.91,7.39,7.57,7.87,7.91,7.79,7.89,7.95,8.37,8.40,8.45,9.01,9.91,9.67,9.96,10.38,10.74,11.00,11.02,11.03,11.13
Luxembourg,MtCO2e,11.55,12.04,11.74,11.95,11.10,8.96,9.04,8.54,7.87,8.26,8.88,9.49,10.28,10.69,12.15,12.38,12.18,11.59,11.52,10.93,11.52,11.66,11.43,10.90,10.40,9.88,9.57,9.73,10.03,10.20
Jamaica,MtCO2e,9.37,9.37,10.18,10.38,10.42,10.76,11.10,11.24,11.80,12.12,12.24,9.39,9.56,9.99,9.90,9.86,11.07,10.99,8.58,6.83,6.44,9.19,8.67,9.13,8.94,8.83,9.27,8.92,10.34,10.15
Armenia,MtCO2e,24.54,25.14,14.95,8.72,6.16,6.77,5.71,6.32,6.25,5.75,6.12,6.23,5.90,6.32,6.72,7.44,7.84,8.49,9.01,7.87,7.69,8.13,9.12,9.06,9.05,9.08,9.45,9.29,9.48,10.00
Brunei,MtCO2e,6.30,6.51,6.80,7.22,7.51,7.90,7.87,8.49,11.83,7.54,7.96,7.91,7.87,9.02,8.47,8.32,11.03,10.54,11.40,11.20,10.49,9.83,9.80,9.58,9.56,8.77,9.42,9.83,10.14,9.63
Sierra Leone,MtCO2e,7.01,7.01,7.01,7.09,7.08,6.86,6.13,6.08,6.18,5.90,5.96,6.46,6.83,7.76,8.18,8.15,9.60,8.87,8.10,8.44,8.17,8.79,9.91,9.86,10.40,10.54,10.28,10.14,9.72,9.45
Latvia,MtCO2e,12.42,10.70,8.03,4.85,1.88,0.21,0.20,-0.37,-0.79,-1.44,-2.13,-2.78,-2.74,-2.59,-2.50,-2.33,-1.79,-1.36,-1.68,-2.46,-1.31,9.20,9.00,8.92,8.84,8.89,8.62,8.56,9.10,8.93
Albania,MtCO2e,11.30,8.96,6.95,6.92,7.74,7.58,7.29,6.58,6.81,8.02,8.40,7.00,7.63,7.97,8.05,7.83,7.73,7.75,7.48,7.52,7.78,8.49,8.04,8.09,8.52,8.38,8.85,9.42,9.22,8.77
Togo,MtCO2e,6.27,6.11,5.80,5.68,5.95,5.91,6.49,6.25,7.21,7.62,7.12,5.07,5.52,6.13,5.85,6.75,6.17,5.86,6.19,7.68,7.51,7.99,7.54,7.43,7.17,7.92,8.21,8.09,8.43,8.71
Costa Rica,MtCO2e,11.00,11.30,12.44,12.52,12.94,12.53,12.50,12.55,13.28,13.07,12.93,10.32,10.33,10.70,10.71,11.24,11.57,12.98,13.12,12.69,12.80,6.69,6.68,7.18,7.18,7.08,8.00,8.20,8.48,8.48
Cyprus,MtCO2e,5.37,5.90,6.33,6.60,6.85,6.74,7.13,7.21,7.54,7.82,8.09,7.81,8.04,8.71,8.65,8.76,8.90,9.23,9.45,9.27,8.95,8.64,8.13,7.42,7.82,7.90,8.35,8.49,8.31,8.29
Burundi,MtCO2e,7.20,7.26,7.26,7.24,7.14,7.31,7.34,7.41,7.45,7.56,7.61,5.49,5.48,5.47,5.52,5.59,5.74,5.81,5.94,6.08,6.43,1.71,1.79,2.20,2.18,2.21,7.50,8.11,8.35,8.04
Rwanda,MtCO2e,5.21,5.20,5.15,5.08,4.95,4.73,4.88,5.01,5.16,5.35,5.38,5.31,5.41,5.61,5.74,5.85,6.12,6.33,6.51,6.62,6.87,5.87,6.00,6.15,6.18,6.83,6.74,6.80,6.91,7.00
Belize,MtCO2e,13.18,13.39,13.61,13.68,13.78,12.69,11.53,10.54,9.56,8.40,7.39,4.13,4.24,4.47,4.06,4.19,4.23,4.42,4.38,5.41,4.57,7.22,6.89,6.87,6.76,6.99,6.75,6.81,6.74,6.85
Mauritius,MtCO2e,2.28,2.38,2.47,2.63,2.70,2.76,2.93,3.04,3.32,3.84,4.29,4.50,4.52,4.71,4.74,4.92,5.35,5.49,5.60,5.60,5.87,5.84,6.00,6.13,6.33,6.38,6.51,6.70,6.72,6.83
Eritrea,MtCO2e,4.12,4.14,4.85,4.44,4.63,4.75,5.28,5.78,5.72,5.90,6.01,5.73,5.68,5.83,5.84,5.86,5.62,5.95,5.89,5.94,5.85,6.06,6.15,6.22,6.27,6.31,6.46,6.54,6.72,6.78
Timor-Leste,MtCO2e,0.92,0.99,0.99,1.02,1.10,1.12,1.14,1.15,1.16,1.05,1.12,2.18,3.24,4.09,4.88,5.87,6.22,6.51,6.88,7.20,7.50,7.39,7.38,7.35,7.32,7.27,7.10,6.81,6.56,6.38
Guinea-Bissau,MtCO2e,3.19,3.20,3.24,3.27,3.29,3.32,2.97,3.01,3.23,3.58,3.28,3.45,3.59,3.68,3.69,3.64,3.93,3.93,3.69,3.76,3.90,3.82,4.24,4.00,4.10,4.34,4.12,4.09,4.18,4.21
Montenegro,MtCO2e,4.14,3.57,3.58,3.40,3.37,3.51,3.76,3.90,4.00,3.42,3.68,0.04,0.14,0.27,0.28,0.08,0.13,-0.08,0.36,-0.72,0.00,4.02,3.78,3.64,3.54,3.65,3.43,3.57,3.77,3.86
Barbados,MtCO2e,3.11,3.14,3.38,3.23,3.30,3.36,3.37,3.48,3.59,3.64,3.59,3.65,3.70,3.72,3.71,3.75,3.81,3.84,4.15,7.00,3.94,4.17,4.55,3.89,3.73,3.74,3.78,3.69,3.76,3.79
Bahamas,MtCO2e,2.18,2.26,2.79,2.32,2.29,2.43,2.35,2.15,2.67,2.63,2.56,2.44,2.63,2.60,2.54,2.38,2.37,2.38,2.52,6.47,2.37,2.92,3.85,3.17,2.83,2.53,2.39,2.57,3.13,3.18
Gambia,MtCO2e,5.04,5.20,5.31,5.43,4.96,4.49,4.15,3.83,3.56,3.49,3.13,2.60,2.38,2.28,2.19,2.06,2.14,2.20,2.34,2.70,2.74,2.43,2.51,2.58,2.72,2.88,2.77,2.80,2.66,2.86
Iceland,MtCO2e,3.36,3.24,3.04,3.00,3.08,3.01,3.27,3.24,3.38,3.35,3.39,3.23,3.29,3.26,3.33,3.29,3.76,3.77,3.66,3.33,3.21,2.96,2.95,3.11,3.18,3.23,2.75,2.81,2.83,2.77
Eswatini,MtCO2e,2.06,2.12,2.19,2.01,2.07,2.12,2.04,2.17,2.27,2.29,2.29,2.07,2.13,2.24,2.26,2.31,2.20,2.39,2.26,2.20,2.23,2.24,2.28,2.36,2.36,2.34,2.43,2.51,2.55,2.69
Maldives,MtCO2e,0.20,0.21,0.28,0.26,0.26,0.32,0.35,0.41,0.39,0.51,0.55,0.58,0.71,0.63,0.85,0.83,1.00,1.00,1.01,1.07,1.12,1.20,1.36,1.37,1.63,1.66,2.10,2.25,2.54,2.60
Lesotho,MtCO2e,1.96,1.96,2.12,2.09,2.06,1.99,1.94,1.92,1.91,2.37,2.29,2.27,2.09,2.15,2.09,2.26,2.20,2.27,2.21,2.30,2.31,2.38,2.44,2.32,2.30,2.34,2.36,2.52,2.53,2.53
Grenada,MtCO2e,1.84,1.86,1.92,1.91,1.93,1.96,1.99,2.02,2.06,2.07,2.07,2.10,2.13,2.15,2.14,2.16,2.19,2.21,2.24,2.76,2.26,2.29,2.40,2.32,2.26,2.29,2.31,2.33,2.37,2.39
Malta,MtCO2e,2.53,2.43,2.41,3.06,2.76,2.63,2.58,2.73,2.64,2.68,2.41,2.78,2.62,2.92,2.93,2.98,3.06,3.15,3.09,2.90,3.00,2.99,3.17,2.84,2.86,2.18,1.88,2.02,2.04,2.13
Djibouti,MtCO2e,0.91,0.93,0.95,0.97,0.98,1.05,1.07,1.12,1.20,1.23,1.22,1.23,1.26,1.28,1.27,1.31,1.31,1.35,1.36,1.36,1.41,1.38,1.41,1.48,1.33,1.40,1.36,1.36,1.36,1.38
Antigua and Barbuda,MtCO2e,0.35,0.37,0.45,0.42,0.43,0.45,0.48,0.51,0.56,0.58,0.60,0.64,0.70,0.74,0.75,0.78,0.85,0.91,0.96,1.92,1.03,1.09,1.26,1.05,1.06,1.09,1.12,1.15,1.19,1.22
Vanuatu,MtCO2e,0.48,0.50,0.52,0.55,0.55,0.56,0.58,0.58,0.58,0.59,0.57,0.55,0.55,0.57,0.56,0.57,0.58,0.70,0.70,0.69,0.71,0.73,0.73,0.73,0.79,0.77,0.82,0.82,0.86,0.87
Samoa,MtCO2e,0.44,0.45,0.45,0.47,0.49,0.50,0.52,0.52,0.54,0.54,0.54,0.57,0.58,0.58,0.60,0.62,0.61,0.61,0.58,0.59,0.62,0.64,0.64,0.65,0.67,0.71,0.78,0.79,0.78,0.79
Seychelles,MtCO2e,0.22,0.24,0.24,0.26,0.28,0.28,0.31,0.36,0.38,0.40,0.38,0.41,0.44,0.44,0.48,0.48,0.49,0.51,0.52,0.56,0.56,0.53,0.55,0.54,0.60,0.65,0.72,0.73,0.74,0.78
Cape Verde,MtCO2e,-0.29,-0.27,-0.24,-0.23,-0.25,-0.21,-0.23,-0.22,-0.19,-0.16,-0.14,0.34,0.38,0.41,0.45,0.55,0.61,0.57,0.59,0.64,0.67,0.66,0.63,0.61,0.61,0.61,0.66,0.68,0.71,0.75
Saint Lucia,MtCO2e,0.76,0.79,0.90,0.91,0.96,0.91,0.85,0.77,0.69,0.60,0.51,0.56,0.57,0.58,0.59,0.59,0.63,0.64,0.65,1.53,0.71,0.74,0.91,0.67,0.68,0.68,0.69,0.72,0.72,0.74
Comoros,MtCO2e,0.32,0.32,0.33,0.34,0.34,0.35,0.35,0.36,0.37,0.38,0.36,0.38,0.39,0.41,0.42,0.45,0.46,0.38,0.41,0.44,0.48,0.48,0.50,0.53,0.52,0.54,0.58,0.65,0.68,0.70
Andorra,MtCO2e,0.43,0.43,0.43,0.44,0.44,0.46,0.49,0.51,0.54,0.57,0.59,0.59,0.60,0.61,0.64,0.66,0.64,0.64,0.64,0.62,0.63,0.60,0.60,0.59,0.57,0.58,0.59,0.59,0.62,0.63
Sao Tome and Principe,MtCO2e,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.09,0.10,0.10,0.11,0.11,0.11,0.12,0.13,0.14,0.34,0.36,0.37,0.37,0.37,0.38,0.39,0.39,0.40
Bhutan,MtCO2e,-5.82,-5.78,-5.82,-5.81,-5.80,-5.72,-5.71,-5.72,-5.70,-5.64,-5.70,-5.75,-5.74,-5.73,-5.68,-5.57,-5.58,-5.51,-5.68,-5.61,-5.49,-0.04,0.06,0.03,0.06,0.11,0.26,0.30,0.37,0.36
Saint Kitts and Nevis,MtCO2e,0.18,0.19,0.23,0.21,0.23,0.23,0.24,0.25,0.27,0.27,0.28,0.29,0.32,0.31,0.32,0.31,0.32,0.34,0.34,0.80,0.34,0.38,0.43,0.32,0.32,0.33,0.34,0.34,0.35,0.35
Saint Vincent and the Grenadines,MtCO2e,0.11,0.11,0.15,0.15,0.17,0.18,0.18,0.19,0.23,0.22,0.20,0.28,0.31,0.31,0.32,0.33,0.33,0.35,0.34,0.97,0.33,0.35,0.44,0.31,0.35,0.33,0.34,0.31,0.34,0.34
Tonga,MtCO2e,0.25,0.26,0.25,0.26,0.26,0.26,0.24,0.24,0.24,0.25,0.23,0.23,0.23,0.26,0.26,0.27,0.28,0.26,0.26,0.28,0.26,0.25,0.25,0.26,0.26,0.26,0.30,0.33,0.31,0.31
Palau,MtCO2e,0.01,0.01,0.21,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.23,0.23,0.24,0.23,0.25,0.28,0.27,0.26,0.23,0.22,0.23,0.23,0.24,0.25,0.24,0.23,0.28,0.29,0.28,0.29
Marshall Islands,MtCO2e,0.03,0.03,0.11,0.11,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.14,0.15,0.15,0.16,0.17,0.17,0.18,0.17,0.17,0.18,0.18,0.18,0.18,0.19,0.19,0.22,0.23,0.23,0.23
Micronesia,MtCO2e,0.01,-0.02,0.09,0.09,0.09,0.15,0.15,0.16,0.16,0.17,0.17,0.19,0.18,0.19,0.20,0.20,0.18,0.18,0.16,0.17,0.15,0.16,0.17,0.18,0.19,0.20,0.22,0.22,0.22,0.23
Dominica,MtCO2e,0.24,0.24,0.26,0.26,0.26,0.26,0.24,0.25,0.25,0.24,0.25,0.21,0.17,0.19,0.20,0.21,0.22,0.24,0.24,0.56,0.24,0.24,0.31,0.23,0.24,0.24,0.23,0.22,0.22,0.22
Liechtenstein,MtCO2e,0.22,0.23,0.23,0.24,0.23,0.23,0.23,0.25,0.26,0.26,0.25,0.25,0.26,0.27,0.27,0.27,0.27,0.24,0.26,0.25,0.23,0.19,0.20,0.21,0.17,0.17,0.16,0.17,0.16,0.16
Kiribati,MtCO2e,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.07,0.07,0.09,0.10,0.08,0.09,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.10,0.12,0.12,0.12
Cook Islands,MtCO2e,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.07,0.08,0.08,0.08,0.08,0.07,0.08,0.09,0.09,0.09,0.09,0.08,0.09,0.10,0.10,0.10
Nauru,MtCO2e,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.10,0.10,0.09,0.09,0.08,0.07,0.07,0.08,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.07
Tuvalu,MtCO2e,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03
Niue,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01
Fiji,MtCO2e,-0.82,-0.81,-0.77,-0.71,-0.66,-0.60,-0.56,-0.56,-0.60,-0.63,-0.59,-0.33,-0.50,-0.38,0.07,-0.12,-0.03,-0.14,-0.41,-0.41,-0.24,-0.29,-0.37,-0.25,-0.66,-0.54,-0.41,-0.22,-0.24,-0.16
Data source,Climate Watch
Data for,Location: World. Sectors/Subsectors: Total including LUCF. Gases: All GHG. Calculation: Total. Show data by Countries
