Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Argentina,MtCO2e,292.65,297.07,301.59,302.16,305.55,308.14,319.30,324.70,330.05,337.78,337.38,379.26,375.63,397.87,414.15,418.09,432.56,445.10,449.64,429.32,434.83,416.09,421.20,431.00,428.81,435.81,403.23,407.58,404.95,398.91
Malaysia,MtCO2e,197.12,208.08,210.77,217.44,225.19,232.31,241.31,252.65,282.08,260.08,271.82,262.89,278.81,288.92,314.12,328.00,324.08,349.26,361.34,357.81,370.38,146.34,148.39,169.28,202.09,187.53,377.38,360.65,384.04,396.11
Italy,MtCO2e,448.75,446.34,443.33,437.37,432.42,457.85,454.43,458.31,469.74,477.37,482.85,481.26,490.55,509.42,521.14,522.52,510.60,503.81,488.78,439.76,448.37,437.82,419.63,387.63,367.92,379.58,396.95,391.74,385.22,376.19
Nigeria,MtCO2e,267.92,283.90,298.58,295.34,290.32,294.62,320.13,310.65,293.97,282.05,293.25,289.50,273.79,293.20,293.44,298.02,285.92,276.61,282.60,268.87,293.77,304.25,307.78,321.55,331.28,325.43,335.84,340.02,345.70,354.33
France,MtCO2e,471.02,496.09,481.51,462.52,456.82,465.53,485.26,475.91,491.96,482.75,481.14,444.92,437.95,443.12,441.29,442.60,432.73,426.00,419.99,402.20,406.15,395.62,399.26,400.17,366.68,372.12,371.62,374.26,360.76,352.10
Egypt,MtCO2e,133.65,139.23,141.98,147.48,143.76,153.38,161.15,170.01,175.75,185.66,185.36,199.17,204.60,209.76,223.00,244.26,255.23,270.59,280.06,287.39,289.78,298.66,309.38,306.32,312.08,318.29,325.66,338.61,345.01,351.96
Iraq,MtCO2e,120.15,62.79,88.75,116.10,132.16,130.40,128.94,162.50,153.60,143.44,160.70,169.02,155.36,129.35,150.56,145.73,146.39,142.94,161.56,172.64,188.62,202.12,228.27,241.89,242.06,254.02,277.35,293.10,304.03,321.31
Poland,MtCO2e,407.18,406.01,395.06,395.62,390.47,390.21,404.83,394.45,365.47,354.92,341.25,280.73,274.29,285.78,289.93,291.35,305.72,306.25,300.04,285.25,303.69,344.31,337.34,331.54,318.34,321.50,326.54,339.46,337.70,320.23
Venezuela,MtCO2e,396.96,406.89,409.38,418.23,421.76,442.06,464.23,481.25,488.46,469.51,483.44,429.42,425.02,413.70,429.08,442.96,442.27,437.43,449.49,440.83,448.86,466.48,502.83,505.11,502.49,479.92,393.20,363.75,337.05,299.60
Spain,MtCO2e,232.97,239.06,248.91,234.11,247.01,260.74,254.12,275.57,285.01,309.60,326.92,348.63,365.33,374.33,390.45,405.09,399.09,415.37,382.06,345.31,330.13,340.89,334.52,308.14,306.84,317.43,301.85,318.40,311.00,293.08
Algeria,MtCO2e,121.40,125.57,126.53,135.01,136.96,143.90,146.97,146.88,149.15,154.61,163.60,156.90,162.66,175.30,178.19,185.65,193.51,196.61,202.05,204.28,207.48,215.21,234.99,239.46,252.91,262.52,265.60,269.38,278.23,282.23
Kazakhstan,MtCO2e,295.96,304.02,306.06,270.26,249.23,220.50,194.82,171.67,172.21,157.25,156.18,154.41,180.86,191.19,207.53,221.29,240.32,252.10,298.68,269.68,289.06,295.59,293.40,307.67,258.97,240.36,256.53,276.98,275.56,271.68
Colombia,MtCO2e,216.21,217.62,220.74,225.60,228.11,232.18,232.29,238.30,240.31,228.80,232.98,222.44,220.54,222.30,224.14,225.83,227.02,232.47,233.16,236.79,241.74,221.67,220.55,227.54,231.15,232.02,261.48,256.46,265.37,270.53
United Arab Emirates,MtCO2e,73.25,81.07,79.19,83.62,92.20,97.34,101.71,104.95,106.99,108.83,109.02,123.08,125.40,133.42,141.21,150.10,157.12,168.25,194.02,194.38,201.89,207.49,219.59,230.89,231.80,245.22,252.92,248.69,229.38,243.55
Myanmar,MtCO2e,208.11,207.52,210.26,212.93,215.57,218.72,216.32,214.00,220.31,225.43,222.35,201.76,200.54,212.15,225.23,216.65,221.37,230.63,217.73,227.87,232.86,203.37,212.03,214.56,222.16,228.50,221.94,234.67,240.11,242.95
Bangladesh,MtCO2e,116.94,117.15,119.30,120.75,123.37,128.57,129.12,131.37,131.28,135.40,137.75,143.29,146.80,148.74,150.67,155.64,161.72,164.71,173.48,177.67,185.71,191.01,194.92,199.00,203.97,214.10,215.72,224.83,229.78,237.70
Philippines,MtCO2e,97.98,97.84,99.86,105.28,112.50,124.44,132.97,141.12,134.56,139.76,141.19,140.35,142.02,145.27,148.70,149.78,143.02,148.95,152.18,154.88,160.48,162.25,167.31,178.26,185.85,194.80,207.41,223.54,229.42,236.79
Ukraine,MtCO2e,776.11,733.77,644.43,560.95,471.12,447.55,386.88,362.84,334.86,328.29,317.30,342.82,347.40,372.22,346.11,333.05,340.19,349.31,338.19,283.10,303.06,329.07,321.75,317.11,282.98,233.56,247.28,221.20,232.76,221.29
Peru,MtCO2e,104.15,103.05,103.71,104.78,107.16,112.07,115.78,116.73,117.59,121.81,122.42,125.53,127.46,127.39,131.45,133.05,132.47,136.45,141.38,145.51,150.21,178.45,178.76,180.65,184.40,186.12,189.98,187.47,187.80,190.66
Uzbekistan,MtCO2e,164.44,165.77,155.29,157.87,154.05,142.41,143.71,147.77,164.64,164.90,172.29,164.22,170.57,162.44,166.14,160.98,171.71,167.15,176.45,163.64,175.52,187.16,171.90,170.72,162.99,157.91,167.53,172.94,180.45,185.39
Ethiopia,MtCO2e,95.14,95.53,96.37,90.48,91.65,92.51,95.30,99.29,105.00,105.85,102.14,108.39,117.90,116.34,118.47,121.97,126.79,136.80,140.64,144.76,149.91,150.03,155.63,159.85,166.06,169.34,175.56,179.26,180.95,183.37
Netherlands,MtCO2e,203.82,209.14,208.48,213.82,213.45,218.67,229.53,221.47,221.68,209.39,207.40,208.19,207.98,207.92,209.65,203.87,199.22,198.71,196.04,190.97,201.63,188.71,187.09,186.76,179.56,187.82,188.71,184.71,178.62,173.59
Turkmenistan,MtCO2e,111.39,103.32,72.90,79.66,72.48,73.25,69.43,59.67,60.89,74.69,88.76,89.50,93.87,105.86,112.66,115.59,117.37,126.40,131.74,104.87,116.62,136.68,144.42,151.15,151.33,155.08,152.94,152.51,154.97,157.33
Tanzania,MtCO2e,98.20,98.48,98.60,99.22,99.96,104.12,97.46,97.12,101.34,101.45,98.85,103.58,109.07,117.40,116.56,122.53,117.28,119.40,122.02,124.18,127.25,129.05,133.67,135.57,136.29,142.55,153.60,152.72,151.98,154.89
Bolivia,MtCO2e,112.97,114.11,114.91,113.60,112.83,111.42,112.28,114.73,114.65,120.36,111.04,90.52,96.39,93.95,106.63,102.69,104.81,109.88,105.20,103.65,125.46,114.44,115.30,115.92,116.72,119.65,130.37,129.20,129.59,138.72
Kuwait,MtCO2e,39.04,10.59,32.08,46.33,53.99,53.81,53.86,56.45,61.21,63.97,69.81,72.90,74.77,79.91,85.07,94.33,97.97,95.99,102.91,103.17,107.34,113.05,117.62,121.86,121.10,125.97,131.71,131.10,133.83,136.69
Angola,MtCO2e,66.16,66.59,67.29,70.27,73.16,76.32,81.52,80.52,89.91,87.51,81.34,101.52,105.16,111.59,114.61,114.87,112.77,117.20,119.98,122.45,126.96,126.65,125.68,128.10,129.91,135.83,133.52,131.15,120.10,128.29
Sudan,MtCO2e,70.66,71.50,75.11,77.03,81.69,82.87,87.70,95.82,102.95,107.32,107.36,95.62,100.73,103.12,106.17,111.04,110.36,115.79,116.03,117.75,115.74,118.69,119.76,119.96,121.05,124.40,127.12,126.52,127.26,127.07
Libya,MtCO2e,87.43,92.23,83.82,91.15,105.57,113.81,116.82,109.17,109.06,105.88,110.66,106.86,105.88,114.61,119.42,129.42,131.68,128.21,133.12,130.08,137.33,75.58,132.61,114.94,97.29,90.01,90.21,112.27,121.57,126.69
Cameroon,MtCO2e,73.61,81.74,81.53,79.22,132.54,132.57,133.83,134.42,138.27,137.23,138.76,124.45,124.44,127.33,124.41,126.91,124.49,125.17,125.57,125.44,126.00,117.84,118.11,119.88,120.69,122.13,123.63,123.47,124.20,124.79
Zimbabwe,MtCO2e,42.69,42.98,43.81,40.25,39.98,39.80,41.71,40.83,42.12,44.46,41.58,42.67,39.91,37.46,37.54,38.27,37.20,37.74,35.80,36.77,39.54,42.18,42.29,42.17,40.39,42.30,115.92,115.59,118.22,117.96
Qatar,MtCO2e,15.38,18.43,18.02,20.81,23.30,24.01,26.48,33.13,34.45,37.40,38.00,37.54,41.40,44.95,48.26,49.70,55.81,63.23,67.81,69.56,78.53,88.22,96.61,98.53,103.59,106.79,109.37,110.06,109.18,114.76
Czech Republic,MtCO2e,172.53,155.82,151.40,146.75,139.45,139.38,140.99,138.51,131.91,123.83,134.66,136.86,131.25,135.60,136.14,133.07,134.07,137.03,131.99,124.37,125.80,126.35,123.67,117.91,114.51,116.83,117.17,116.77,115.40,110.77
Belgium,MtCO2e,126.86,131.77,129.82,127.62,132.98,133.14,138.49,135.31,138.07,134.22,134.25,135.68,128.35,131.74,130.29,126.54,123.54,118.87,121.13,114.16,121.73,110.77,109.55,110.53,104.15,109.06,110.54,108.47,109.22,108.22
Mozambique,MtCO2e,83.42,83.69,84.35,85.07,85.36,85.60,71.41,69.16,72.22,71.06,68.88,86.29,86.37,91.33,90.53,95.34,94.09,95.13,100.17,94.75,103.31,93.08,97.64,99.31,98.99,97.30,108.02,106.73,111.15,106.74
Chad,MtCO2e,24.92,31.33,32.21,33.21,34.18,35.21,38.41,40.11,44.67,46.50,46.59,50.59,54.85,54.46,58.06,59.88,61.49,64.00,64.78,65.41,69.51,81.20,85.00,86.98,89.57,95.01,97.20,98.71,103.21,105.68
Oman,MtCO2e,19.44,23.55,23.33,24.71,26.60,29.92,30.82,32.08,31.32,34.25,38.55,42.41,44.19,46.15,45.46,45.58,54.05,57.00,56.60,59.53,63.88,71.30,79.52,83.47,87.04,91.48,94.74,94.41,99.54,100.28
Ecuador,MtCO2e,73.52,74.22,76.71,78.30,81.49,83.97,88.05,89.94,88.26,85.40,84.69,81.76,81.42,82.56,86.67,88.43,90.92,90.60,92.32,95.84,99.41,88.04,87.93,90.98,92.63,91.16,98.96,97.66,98.83,98.70
Paraguay,MtCO2e,75.18,72.17,71.46,71.65,71.61,73.58,73.50,74.67,74.80,77.91,73.27,89.37,89.59,91.31,89.16,90.51,90.67,93.92,92.02,94.06,96.54,109.62,110.84,112.43,114.27,114.67,93.51,96.46,94.62,96.60
Zambia,MtCO2e,59.54,59.91,60.06,59.62,58.90,58.68,49.94,50.44,51.69,50.05,46.59,52.28,55.45,61.12,61.63,64.21,59.54,62.14,64.46,61.07,67.22,81.37,85.15,86.31,86.78,91.79,90.80,90.90,90.12,91.36
Morocco,MtCO2e,31.91,33.23,34.33,34.02,37.13,37.83,38.49,40.40,41.31,43.48,44.56,48.47,50.00,49.98,54.59,57.60,59.57,60.32,62.80,62.83,66.26,74.31,76.11,76.60,77.80,80.02,78.33,83.05,84.87,91.15
Israel,MtCO2e,44.08,45.16,47.95,52.03,55.37,59.22,62.33,65.37,66.72,68.94,73.82,73.68,75.66,76.47,77.58,76.22,80.50,83.66,84.34,83.81,89.28,89.04,95.54,87.08,85.24,87.19,87.03,88.56,84.85,87.26
North Korea,MtCO2e,161.17,153.89,139.97,130.75,121.52,114.02,102.31,94.38,86.03,90.14,93.67,92.10,89.14,90.98,93.21,96.52,98.63,85.96,94.10,77.54,74.37,61.65,63.26,52.46,56.61,50.21,55.35,80.47,76.86,82.69
Greece,MtCO2e,94.31,94.38,96.46,96.82,99.44,103.87,104.96,106.03,110.23,111.13,116.94,117.31,117.70,121.03,120.67,122.75,121.10,124.63,120.66,113.88,107.16,107.33,102.34,94.67,91.59,89.85,88.57,88.18,85.45,79.91
Romania,MtCO2e,224.74,186.41,166.73,155.93,151.83,157.38,161.04,149.46,133.45,117.65,121.63,123.19,120.27,125.19,123.55,122.97,126.55,124.20,122.18,106.40,103.54,-174.27,-176.58,-185.86,-186.55,-184.27,76.46,79.25,79.91,78.36
Kenya,MtCO2e,30.65,29.37,29.35,29.12,29.35,29.68,29.01,28.82,29.96,31.97,30.86,49.57,50.47,51.42,54.04,54.40,54.64,71.18,72.27,72.47,73.86,68.94,67.86,69.39,71.99,74.24,64.02,60.57,61.08,73.40
New Zealand,MtCO2e,45.24,44.91,45.74,44.93,46.41,47.66,48.02,50.51,48.87,51.12,51.30,57.06,58.71,61.20,59.85,61.33,61.50,60.39,60.23,57.42,57.23,62.91,65.46,65.09,65.61,65.47,70.20,71.83,71.19,72.59
Cambodia,MtCO2e,24.83,24.53,25.06,25.87,24.70,27.34,23.59,24.92,28.44,28.03,26.37,26.90,29.25,31.67,32.48,30.90,34.34,35.34,35.17,36.69,35.74,99.81,98.06,98.19,98.65,100.83,67.50,69.86,70.41,71.77
Austria,MtCO2e,63.14,67.42,61.60,61.53,61.60,64.08,67.86,66.81,66.81,65.00,65.18,76.84,78.17,83.28,84.11,84.19,81.93,78.89,78.46,71.55,77.34,74.46,71.26,71.80,68.08,69.27,69.60,71.53,68.32,69.80
